Patch1_Us,Patch1_Ls,Patch2_Us,Patch2_Rs,Alpha,Lambda,Distance,Beta,Total_prop_Ls,Var
50,2,50,2,0.0055,0.003,1,2.75,0.5,7.46E-02
50,2,50,2,0.0055,0.003,1,3,0.5,8.62E-02
50,2,50,2,0.0055,0.003,1,3.25,0.5,9.41E-02
50,2,50,2,0.0055,0.003,1,3.5,0.5,9.95E-02
50,2,50,2,0.0055,0.003,1,3.75,0.5,1.03E-01
50,2,50,2,0.0055,0.003,1,4,0.5,1.06E-01
50,2,50,2,0.0055,0.003,1,4.25,0.5,1.08E-01
50,2,50,2,0.0055,0.003,1,4.5,0.5,1.10E-01
50,2,50,2,0.0055,0.003,1,4.75,0.5,1.11E-01
50,2,50,2,0.0055,0.003,1,5,0.5,1.12E-01
50,2,50,2,0.0055,0.003,1,10,0.5,1.14E-01
50,2,50,2,0.0055,0.0035,1,1,0.5,8.90E-28
50,2,50,2,0.0055,0.0035,1,1.25,0.5,4.29E-24
50,2,50,2,0.0055,0.0035,1,1.5,0.457,1.98E-16
50,2,50,2,0.0055,0.0035,1,1.75,0.9999,8.87E-26
50,2,50,2,0.0055,0.0035,1,2,2.97E-08,1.40E-33
50,2,50,2,0.0055,0.0035,1,2.25,1,0.00E+00
50,2,50,2,0.0055,0.0035,1,2.5,7.22E-07,1.86E-27
50,2,50,2,0.0055,0.0035,1,2.75,0.4951,0.0491
50,2,50,2,0.0055,0.0035,1,3,0.5,0.0625
50,2,50,2,0.0055,0.0035,1,3.25,0.5,0.0717
50,2,50,2,0.0055,0.0035,1,3.5,0.5,0.0781
50,2,50,2,0.0055,0.0035,1,3.75,0.5,0.0827
50,2,50,2,0.0055,0.0035,1,4,0.5,0.0861
50,2,50,2,0.0055,0.0035,1,4.25,0.5,0.0886
50,2,50,2,0.0055,0.0035,1,4.5,0.5,0.0905
50,2,50,2,0.0055,0.0035,1,4.75,0.5,0.092
50,2,50,2,0.0055,0.0035,1,5,0.5,0.093
50,2,50,2,0.0055,0.0035,1,10,0.5,0.0968
50,2,50,2,0.0055,0.004,1,1,0.5,4.68E-28
50,2,50,2,0.0055,0.004,1,1.25,0.5,1.06E-24
50,2,50,2,0.0055,0.004,1,1.5,0.4992,1.05E-15
50,2,50,2,0.0055,0.004,1,1.75,0.9999,9.01E-23
50,2,50,2,0.0055,0.004,1,2,1,1.23E-32
50,2,50,2,0.0055,0.004,1,2.25,0,6.97E-36
50,2,50,2,0.0055,0.004,1,2.5,0,9.96E-35
50,2,50,2,0.0055,0.004,1,2.75,2.99E-08,5.81E-29
50,2,50,2,0.0055,0.004,1,3,0.0212,2.39E-08
50,2,50,2,0.0055,0.004,1,3.25,0.5,0.0532
50,2,50,2,0.0055,0.004,1,3.5,0.5,0.0605
50,2,50,2,0.0055,0.004,1,3.75,0.5,0.0659
50,2,50,2,0.0055,0.004,1,4,0.5,0.0698
50,2,50,2,0.0055,0.004,1,4.25,0.5,0.0728
50,2,50,2,0.0055,0.004,1,4.5,0.5,0.075
50,2,50,2,0.0055,0.004,1,4.75,0.5,0.0767
50,2,50,2,0.0055,0.004,1,5,0.5,0.0781
50,2,50,2,0.0055,0.004,1,10,0.5,0.0829
50,2,50,2,0.0055,0.0045,1,1,0.5,1.97E-27
50,2,50,2,0.0055,0.0045,1,1.25,0.5,9.51E-27
50,2,50,2,0.0055,0.0045,1,1.5,0.5301,2.40E-15
50,2,50,2,0.0055,0.0045,1,1.75,1.00E-04,1.76E-24
50,2,50,2,0.0055,0.0045,1,2,1,8.44E-30
50,2,50,2,0.0055,0.0045,1,2.25,0,2.00E-34
50,2,50,2,0.0055,0.0045,1,2.5,0,1.27E-33
50,2,50,2,0.0055,0.0045,1,2.75,1,0.00E+00
50,2,50,2,0.0055,0.0045,1,3,0,3.37E-27
50,2,50,2,0.0055,0.0045,1,3.25,8.18E-05,5.58E-22
50,2,50,2,0.0055,0.0045,1,3.5,0.5,0.0459
50,2,50,2,0.0055,0.0045,1,3.75,0.5,0.0518
50,2,50,2,0.0055,0.0045,1,4,0.5,0.0563
50,2,50,2,0.0055,0.0045,1,4.25,0.5,0.0596
50,2,50,2,0.0055,0.0045,1,4.5,0.5,0.0622
50,2,50,2,0.0055,0.0045,1,4.75,0.5,0.0642
50,2,50,2,0.0055,0.0045,1,5,0.5,0.0658
50,2,50,2,0.0055,0.0045,1,10,0.5,0.0718
50,2,50,2,0.0055,0.005,1,1,0.5,5.72E-26
50,2,50,2,0.0055,0.005,1,1.25,0.5,1.39E-26
50,2,50,2,0.0055,0.005,1,1.5,0.4932,2.63E-19
50,2,50,2,0.0055,0.005,1,1.75,0.9998,2.83E-20
50,2,50,2,0.0055,0.005,1,2,1,6.16E-31
50,2,50,2,0.0055,0.005,1,2.25,0,5.23E-34
50,2,50,2,0.0055,0.005,1,2.5,0,4.81E-33
50,2,50,2,0.0055,0.005,1,2.75,1,9.84E-72
50,2,50,2,0.0055,0.005,1,3,0,2.19E-36
50,2,50,2,0.0055,0.005,1,3.25,0,2.70E-31
50,2,50,2,0.0055,0.005,1,3.5,6.23E-05,1.90E-20
50,2,50,2,0.0055,0.005,1,3.75,0.5194,3.92E-02
50,2,50,2,0.0055,0.005,1,4,0.5,4.49E-02
50,2,50,2,0.0055,0.005,1,4.25,0.5,4.86E-02
50,2,50,2,0.0055,0.005,1,4.5,0.5,5.15E-02
50,2,50,2,0.0055,0.005,1,4.75,0.5,5.38E-02
50,2,50,2,0.0055,0.005,1,5,0.5,5.56E-02
50,2,50,2,0.0055,0.005,1,10,0.5,6.28E-02
50,2,50,2,0.0055,0.01,1,1,0.5,8.42E-26
50,2,50,2,0.0055,0.01,1,1.25,0.5,1.06E-23
50,2,50,2,0.0055,0.01,1,1.5,0.3537,1.21E-12
50,2,50,2,0.0055,0.01,1,1.75,2.43E-05,7.47E-24
50,2,50,2,0.0055,0.01,1,2,0,1.12E-27
50,2,50,2,0.0055,0.01,1,2.25,1,6.16E-32
50,2,50,2,0.0055,0.01,1,2.5,1,1.46E-62
50,2,50,2,0.0055,0.01,1,2.75,0,5.59E-37
50,2,50,2,0.0055,0.01,1,3,0,8.38E-37
50,2,50,2,0.0055,0.01,1,3.25,1,3.16E-81
50,2,50,2,0.0055,0.01,1,3.5,1,4.47E-84
50,2,50,2,0.0055,0.01,1,3.75,1,1.64E-93
50,2,50,2,0.0055,0.01,1,4,1,2.61E-131
50,2,50,2,0.0055,0.01,1,4.25,0,1.84E-38
50,2,50,2,0.0055,0.01,1,4.5,1,8.89E-105
50,2,50,2,0.0055,0.01,1,4.75,1,3.26E-109
50,2,50,2,0.0055,0.01,1,5,1,8.75E-143
50,2,50,2,0.0055,0.01,1,10,0.5,2.20E-02
