Patch1_Us,Patch1_Ls,Patch2_Us,Patch2_Rs,Patch3_Us,Distance,Alpha,Lambda,Beta,Var,Total_prop_Ls
50,2,50,2,50,1,0.01,0.0015,2.1,0.31857,0.46263
50,2,50,2,50,1,0.01,0.0015,2.2,0.32222,0.46438
50,2,50,2,50,1,0.01,0.0015,2.3,0.32497,0.46568
50,2,50,2,50,1,0.01,0.0015,2.4,0.32705,0.53332
50,2,50,2,50,1,0.01,0.0015,2.5,0.32866,0.46746
50,2,50,2,50,1,0.01,0.0015,2.6,0.32991,0.53193
50,2,50,2,50,1,0.01,0.0015,2.7,0.33089,0.53144
50,2,50,2,50,1,0.01,0.0015,2.8,0.33166,0.46895
50,2,50,2,50,1,0.01,0.0015,2.9,0.33228,0.53074
50,2,50,2,50,1,0.01,0.0015,3,0.33276,0.53049
50,2,50,2,50,1,0.01,0.0015,3.1,0.33315,0.46972
50,2,50,2,50,1,0.01,0.0015,3.2,0.33346,0.46988
50,2,50,2,50,1,0.01,0.0015,3.3,0.33371,0.52998
50,2,50,2,50,1,0.01,0.0015,3.4,0.33391,0.52987
50,2,50,2,50,1,0.01,0.0015,3.5,0.33407,0.52978
50,2,50,2,50,1,0.01,0.0015,3.6,0.3342,0.5297
50,2,50,2,50,1,0.01,0.0015,3.7,0.33431,0.47036
50,2,50,2,50,1,0.01,0.0015,3.8,0.33439,0.52959
50,2,50,2,50,1,0.01,0.0015,3.9,0.33446,0.52955
50,2,50,2,50,1,0.01,0.0015,4,0.33452,0.47048
50,2,50,2,50,1,0.01,0.0015,4.1,0.33457,0.47051
50,2,50,2,50,1,0.01,0.0015,4.2,0.3346,0.52947
50,2,50,2,50,1,0.01,0.0015,4.3,0.33463,0.47055
50,2,50,2,50,1,0.01,0.0015,4.4,0.33466,0.47057
50,2,50,2,50,1,0.01,0.0015,4.5,0.33468,0.47058
50,2,50,2,50,1,0.01,0.0015,4.6,0.3347,0.47059
50,2,50,2,50,1,0.01,0.0015,4.7,0.33471,0.5294
50,2,50,2,50,1,0.01,0.0015,4.8,0.33472,0.52939
50,2,50,2,50,1,0.01,0.0015,4.9,0.33473,0.47061
50,2,50,2,50,1,0.01,0.0015,5,0.33474,0.52938
50,2,50,2,50,1,0.01,0.002,1,4.83E-30,0.5
50,2,50,2,50,1,0.01,0.002,1.1,2.64E-15,0.5
50,2,50,2,50,1,0.01,0.002,1.2,6.10E-08,0.49996
50,2,50,2,50,1,0.01,0.002,1.3,0.014381,0.50158
50,2,50,2,50,1,0.01,0.002,1.4,0.12078,0.50649
50,2,50,2,50,1,0.01,0.002,1.5,0.006569,0.90885
50,2,50,2,50,1,0.01,0.002,1.6,1.37E-14,1
50,2,50,2,50,1,0.01,0.002,1.7,2.16E-12,1.52E-05
50,2,50,2,50,1,0.01,0.002,1.8,0.20812,0.3984
50,2,50,2,50,1,0.01,0.002,1.9,0.24533,0.43005
50,2,50,2,50,1,0.01,0.002,2,0.25959,0.55997
50,2,50,2,50,1,0.01,0.002,2.1,0.26872,0.44589
50,2,50,2,50,1,0.01,0.002,2.2,0.27516,0.55018
50,2,50,2,50,1,0.01,0.002,2.3,0.27991,0.54738
50,2,50,2,50,1,0.01,0.002,2.4,0.2835,0.54529
50,2,50,2,50,1,0.01,0.002,2.5,0.28627,0.54369
50,2,50,2,50,1,0.01,0.002,2.6,0.28844,0.54244
50,2,50,2,50,1,0.01,0.002,2.7,0.29016,0.54145
50,2,50,2,50,1,0.01,0.002,2.8,0.29152,0.45935
50,2,50,2,50,1,0.01,0.002,2.9,0.29262,0.54
50,2,50,2,50,1,0.01,0.002,3,0.29351,0.46053
50,2,50,2,50,1,0.01,0.002,3.1,0.29423,0.53904
50,2,50,2,50,1,0.01,0.002,3.2,0.29482,0.46132
50,2,50,2,50,1,0.01,0.002,3.3,0.2953,0.46161
50,2,50,2,50,1,0.01,0.002,3.4,0.2957,0.46186
50,2,50,2,50,1,0.01,0.002,3.5,0.29602,0.53794
50,2,50,2,50,1,0.01,0.002,3.6,0.29629,0.53776
50,2,50,2,50,1,0.01,0.002,3.7,0.29651,0.46238
50,2,50,2,50,1,0.01,0.002,3.8,0.29669,0.4625
50,2,50,2,50,1,0.01,0.002,3.9,0.29685,0.5374
50,2,50,2,50,1,0.01,0.002,4,0.29697,0.46269
50,2,50,2,50,1,0.01,0.002,4.1,0.29708,0.53724
50,2,50,2,50,1,0.01,0.002,4.2,0.29717,0.46282
50,2,50,2,50,1,0.01,0.002,4.3,0.29724,0.53713
50,2,50,2,50,1,0.01,0.002,4.4,0.2973,0.46291
50,2,50,2,50,1,0.01,0.002,4.5,0.29735,0.46294
50,2,50,2,50,1,0.01,0.002,4.6,0.2974,0.53703
50,2,50,2,50,1,0.01,0.002,4.7,0.29743,0.463
50,2,50,2,50,1,0.01,0.002,4.8,0.29746,0.46302
50,2,50,2,50,1,0.01,0.002,4.9,0.29749,0.53696
50,2,50,2,50,1,0.01,0.002,5,0.29751,0.46305
50,2,50,2,50,1,0.01,0.0025,1,5.48E-27,0.5
50,2,50,2,50,1,0.01,0.0025,1.1,7.31E-24,0.5
50,2,50,2,50,1,0.01,0.0025,1.2,2.80E-13,0.50004
50,2,50,2,50,1,0.01,0.0025,1.3,1.99E-06,0.5479
50,2,50,2,50,1,0.01,0.0025,1.4,4.19E-05,0.026222
50,2,50,2,50,1,0.01,0.0025,1.5,0.00017332,0.027011
50,2,50,2,50,1,0.01,0.0025,1.6,9.27E-10,0.0002594
50,2,50,2,50,1,0.01,0.0025,1.7,3.07E-27,1.47E-09
50,2,50,2,50,1,0.01,0.0025,1.8,1.25E-25,1
50,2,50,2,50,1,0.01,0.0025,1.9,1.20E-26,-3.93E-11
50,2,50,2,50,1,0.01,0.0025,2,1.01E-28,-2.89E-10
50,2,50,2,50,1,0.01,0.0025,2.1,0.21342,0.5837
50,2,50,2,50,1,0.01,0.0025,2.2,0.22817,0.57116
50,2,50,2,50,1,0.01,0.0025,2.3,0.23693,0.43563
50,2,50,2,50,1,0.01,0.0025,2.4,0.24306,0.55987
50,2,50,2,50,1,0.01,0.0025,2.5,0.24762,0.44337
50,2,50,2,50,1,0.01,0.0025,2.6,0.25111,0.4458
50,2,50,2,50,1,0.01,0.0025,2.7,0.25385,0.44769
50,2,50,2,50,1,0.01,0.0025,2.8,0.25604,0.55082
50,2,50,2,50,1,0.01,0.0025,2.9,0.25779,0.45038
50,2,50,2,50,1,0.01,0.0025,3,0.25922,0.45135
50,2,50,2,50,1,0.01,0.0025,3.1,0.26039,0.45216
50,2,50,2,50,1,0.01,0.0025,3.2,0.26135,0.54718
50,2,50,2,50,1,0.01,0.0025,3.3,0.26214,0.54663
50,2,50,2,50,1,0.01,0.0025,3.4,0.2628,0.45384
50,2,50,2,50,1,0.01,0.0025,3.5,0.26335,0.54577
50,2,50,2,50,1,0.01,0.0025,3.6,0.26381,0.45456
50,2,50,2,50,1,0.01,0.0025,3.7,0.26419,0.45483
50,2,50,2,50,1,0.01,0.0025,3.8,0.26451,0.45507
50,2,50,2,50,1,0.01,0.0025,3.9,0.26479,0.45527
50,2,50,2,50,1,0.01,0.0025,4,0.26502,0.54456
50,2,50,2,50,1,0.01,0.0025,4.1,0.26521,0.45559
50,2,50,2,50,1,0.01,0.0025,4.2,0.26538,0.54429
50,2,50,2,50,1,0.01,0.0025,4.3,0.26552,0.45582
50,2,50,2,50,1,0.01,0.0025,4.4,0.26563,0.45591
50,2,50,2,50,1,0.01,0.0025,4.5,0.26573,0.45599
50,2,50,2,50,1,0.01,0.0025,4.6,0.26582,0.54395
50,2,50,2,50,1,0.01,0.0025,4.7,0.26589,0.54389
50,2,50,2,50,1,0.01,0.0025,4.8,0.26596,0.45616
50,2,50,2,50,1,0.01,0.0025,4.9,0.26601,0.5438
50,2,50,2,50,1,0.01,0.0025,5,0.26605,0.45624
50,2,50,2,50,1,0.01,0.003,1,5.37E-25,0.5
50,2,50,2,50,1,0.01,0.003,1.1,6.53E-27,0.5
50,2,50,2,50,1,0.01,0.003,1.2,5.77E-19,0.49984
50,2,50,2,50,1,0.01,0.003,1.3,8.62E-12,0.21485
50,2,50,2,50,1,0.01,0.003,1.4,8.95E-27,1
50,2,50,2,50,1,0.01,0.003,1.5,3.19E-29,1
50,2,50,2,50,1,0.01,0.003,1.6,1.78E-20,1.06E-07
50,2,50,2,50,1,0.01,0.003,1.7,4.05E-27,-4.28E-11
50,2,50,2,50,1,0.01,0.003,1.8,9.64E-29,5.81E-11
50,2,50,2,50,1,0.01,0.003,1.9,7.56E-30,1
50,2,50,2,50,1,0.01,0.003,2,4.99E-29,1
50,2,50,2,50,1,0.01,0.003,2.1,4.15E-29,1
50,2,50,2,50,1,0.01,0.003,2.2,2.73E-29,-1.25E-11
50,2,50,2,50,1,0.01,0.003,2.3,9.97E-12,7.81E-05
50,2,50,2,50,1,0.01,0.003,2.4,0.19993,0.5834
50,2,50,2,50,1,0.01,0.003,2.5,0.20938,0.57465
50,2,50,2,50,1,0.01,0.003,2.6,0.21556,0.56926
50,2,50,2,50,1,0.01,0.003,2.7,0.22008,0.43454
50,2,50,2,50,1,0.01,0.003,2.8,0.22355,0.43738
50,2,50,2,50,1,0.01,0.003,2.9,0.22628,0.43958
50,2,50,2,50,1,0.01,0.003,3,0.22847,0.44133
50,2,50,2,50,1,0.01,0.003,3.1,0.23026,0.55725
50,2,50,2,50,1,0.01,0.003,3.2,0.23172,0.44391
50,2,50,2,50,1,0.01,0.003,3.3,0.23294,0.55512
50,2,50,2,50,1,0.01,0.003,3.4,0.23395,0.55432
50,2,50,2,50,1,0.01,0.003,3.5,0.23479,0.55364
50,2,50,2,50,1,0.01,0.003,3.6,0.23551,0.44693
50,2,50,2,50,1,0.01,0.003,3.7,0.23611,0.44742
50,2,50,2,50,1,0.01,0.003,3.8,0.23662,0.44784
50,2,50,2,50,1,0.01,0.003,3.9,0.23705,0.44819
50,2,50,2,50,1,0.01,0.003,4,0.23742,0.4485
50,2,50,2,50,1,0.01,0.003,4.1,0.23774,0.55124
