0.014349,0.105,65,82
9.1878e-08,0.99993,131,80
0.017061,0.92528,63,78
2.6298e-07,0.99987,96,40
0.0006051,0.016017,69,88
5.0855e-07,0.00017922,50,102
0.062708,0.35828,56,84
0.01826,0.11006,59,91
0.001254,0.97659,60,28
6.7581e-07,0.99979,66,54
0.0013758,0.97173,66,65
1.9078e-06,0.9996,116,57
2.6175e-07,9.8795e-05,54,55
0.024417,0.89485,90,34
0.057017,0.57887,72,67
0.0049684,0.94023,103,114
2.8152e-07,0.99987,59,39
1.9568e-05,0.0019185,92,137
0.012831,0.91316,104,47
2.2718e-08,0.99998,111,33
5.1611e-08,0.99996,106,46
1.5283e-10,1,150,28
3.7821e-06,0.99929,88,39
3.1075e-08,0.99997,69,49
0.0019315,0.97133,57,50
1.031e-09,0.99999,139,38
3.0839e-05,0.99756,95,86
1.1253e-07,0.99991,54,47
0.049901,0.70176,73,56
1.4657e-05,0.99837,85,100
2.0705e-08,0.99997,110,59
0.068681,0.59862,44,56
7.3626e-09,0.99999,82,20
1.8853e-08,0.99997,53,68
0.061075,0.78578,67,35
6.0617e-06,0.9991,98,77
1.4505e-07,0.99991,146,62
3.2973e-06,0.99947,108,54
2.1897e-08,0.99997,133,68
0.00033307,0.016169,74,91
2.9107e-07,0.99985,127,35
0.066248,0.35103,95,99
1.6873e-07,0.99991,45,47
0.065046,0.69821,69,84
0.076298,0.33766,45,54
0.031541,0.82595,80,45
0.060823,0.44712,59,95
2.0226e-09,0.99999,183,32
6.8399e-09,0.99998,54,35
0.0053912,0.93529,72,72
1.9844e-06,0.99956,150,56
0.059389,0.79876,88,91
1.8068e-07,0.99993,63,51
1.2775e-08,0.99998,153,60
2.3551e-09,0.99999,179,56
9.6461e-08,0.99993,116,50
0.029097,0.79589,75,35
2.6359e-07,0.99991,97,59
3.4376e-07,0.99985,83,48
1.1575e-07,0.99994,122,75
5.575e-09,0.99999,87,26
7.0126e-06,0.00096899,73,124
6.4502e-10,1,117,35
2.3809e-07,0.99988,96,31
0.0084399,0.9688,71,68
1.9391e-09,0.99999,96,47
0.030743,0.87273,107,124
7.3927e-09,0.99998,168,50
0.050794,0.724,120,94
1.6444e-08,0.99998,94,53
6.2416e-09,0.99998,109,44
0.052179,0.81568,31,37
0.034648,0.76514,88,97
0.00015827,0.99096,141,61
9.2795e-07,0.00023994,88,145
1.8718e-06,0.99956,95,56
8.1437e-10,1,106,25
0.00080546,0.9775,75,44
1.8307e-05,0.99839,95,81
1.0802e-05,0.0010853,52,88
0.067744,0.7704,88,90
0.0013205,0.97624,88,40
3.1786e-07,0.00013535,46,38
0.0019921,0.96863,64,44
2.2742e-06,0.99953,69,62
1.1223e-08,0.99998,138,57
8.6125e-07,0.0002026,28,88
1.1779e-05,0.99874,117,101
0.04507,0.83529,79,54
8.6361e-09,0.99998,71,31
3.9371e-08,0.99996,63,46
1.3854e-05,0.0015886,67,87
1.1024e-07,0.99993,109,69
0.029944,0.81975,56,54
0.0019809,0.96969,70,45
0.0014327,0.97553,93,23
1.2934e-06,0.99968,76,55
3.2561e-05,0.0023378,68,55
2.1672e-07,0.99989,137,87
1.49e-08,0.99998,98,35
