Environment,Alpha,Lambda,Beta,Var,Total_prop_Ls
directDist,0.001,0.03,1.6,5.05E-05,0.97732
directDist,0.001,0.03,1.8,2.38E-05,0.98593
directDist,0.001,0.03,2,1.55E-05,0.98901
directDist,0.001,0.03,2.2,1.23E-05,0.9903
directDist,0.001,0.03,2.4,1.10E-05,0.99083
directDist,0.001,0.03,2.6,1.06E-05,0.99098
directDist,0.001,0.03,2.8,1.07E-05,0.9909
directDist,0.001,0.03,3,1.11E-05,0.99067
directDist,0.001,0.03,3.2,1.17E-05,0.99033
directDist,0.001,0.03,3.4,1.26E-05,0.9899
directDist,0.001,0.03,3.6,1.37E-05,0.98939
directDist,0.001,0.03,3.8,1.50E-05,0.9888
directDist,0.001,0.03,4,1.65E-05,0.98814
directDist,0.001,0.03,4.2,1.83E-05,0.98742
directDist,0.001,0.03,4.4,2.03E-05,0.98664
directDist,0.001,0.03,4.6,2.25E-05,0.98581
directDist,0.001,0.03,4.8,2.50E-05,0.98492
directDist,0.001,0.03,5,2.77E-05,0.98398
directDist,0.001,0.035,1,5.94E-06,0.60817
directDist,0.001,0.035,1.2,0.00015459,0.81042
directDist,0.001,0.035,1.4,9.98E-05,0.95134
directDist,0.001,0.035,1.6,2.65E-05,0.98188
directDist,0.001,0.035,1.8,1.10E-05,0.98941
directDist,0.001,0.035,2,6.56E-06,0.99205
directDist,0.001,0.035,2.2,4.89E-06,0.99321
directDist,0.001,0.035,2.4,4.14E-06,0.99377
directDist,0.001,0.035,2.6,3.79E-06,0.99404
directDist,0.001,0.035,2.8,3.64E-06,0.99415
directDist,0.001,0.035,3,3.62E-06,0.99416
directDist,0.001,0.035,3.2,3.67E-06,0.9941
directDist,0.001,0.035,3.4,3.79E-06,0.994
directDist,0.001,0.035,3.6,3.95E-06,0.99386
directDist,0.001,0.035,3.8,4.15E-06,0.99369
directDist,0.001,0.035,4,4.39E-06,0.99349
directDist,0.001,0.035,4.2,4.66E-06,0.99327
directDist,0.001,0.035,4.4,4.97E-06,0.99303
directDist,0.001,0.035,4.6,5.31E-06,0.99277
directDist,0.001,0.035,4.8,5.67E-06,0.9925
directDist,0.001,0.035,5,6.07E-06,0.99222
directDist,0.001,0.04,1,1.88E-06,0.60626
directDist,0.001,0.04,1.2,0.00011336,0.80928
directDist,0.001,0.04,1.4,7.02E-05,0.9547
directDist,0.001,0.04,1.6,1.59E-05,0.98441
directDist,0.001,0.04,1.8,5.94E-06,0.99128
directDist,0.001,0.04,2,3.33E-06,0.99365
directDist,0.001,0.04,2.2,2.37E-06,0.99469
directDist,0.001,0.04,2.4,1.93E-06,0.99522
directDist,0.001,0.04,2.6,1.71E-06,0.9955
directDist,0.001,0.04,2.8,1.60E-06,0.99566
directDist,0.001,0.04,3,1.54E-06,0.99573
directDist,0.001,0.04,3.2,1.52E-06,0.99576
directDist,0.001,0.04,3.4,1.52E-06,0.99575
directDist,0.001,0.04,3.6,1.54E-06,0.99572
directDist,0.001,0.04,3.8,1.58E-06,0.99567
directDist,0.001,0.04,4,1.63E-06,0.9956
directDist,0.001,0.04,4.2,1.68E-06,0.99552
directDist,0.001,0.04,4.4,1.75E-06,0.99543
directDist,0.001,0.04,4.6,1.82E-06,0.99534
directDist,0.001,0.04,4.8,1.90E-06,0.99523
directDist,0.001,0.04,5,1.98E-06,0.99512
directDist,0.001,0.045,1,5.88E-07,0.60474
directDist,0.001,0.045,1.2,8.80E-05,0.80749
directDist,0.001,0.045,1.4,5.27E-05,0.95653
directDist,0.001,0.045,1.6,1.05E-05,0.98593
directDist,0.001,0.045,1.8,3.63E-06,0.9924
directDist,0.001,0.045,2,1.94E-06,0.99458
directDist,0.001,0.045,2.2,1.33E-06,0.99554
directDist,0.001,0.045,2.4,1.06E-06,0.99603
directDist,0.001,0.045,2.6,9.16E-07,0.99631
directDist,0.001,0.045,2.8,8.37E-07,0.99648
directDist,0.001,0.045,3,7.92E-07,0.99657
directDist,0.001,0.045,3.2,7.66E-07,0.99663
directDist,0.001,0.045,3.4,7.55E-07,0.99665
directDist,0.001,0.045,3.6,7.52E-07,0.99666
directDist,0.001,0.045,3.8,7.55E-07,0.99665
directDist,0.001,0.045,4,7.64E-07,0.99663
directDist,0.001,0.045,4.2,7.76E-07,0.9966
directDist,0.001,0.045,4.4,7.92E-07,0.99657
directDist,0.001,0.045,4.6,8.11E-07,0.99653
directDist,0.001,0.045,4.8,8.32E-07,0.99648
directDist,0.001,0.045,5,8.55E-07,0.99643
directDist,0.001,0.05,1,1.80E-07,0.60358
directDist,0.001,0.05,1.2,7.09E-05,0.80563
directDist,0.001,0.05,1.4,4.15E-05,0.95753
directDist,0.001,0.05,1.6,7.47E-06,0.9869
directDist,0.001,0.05,1.8,2.41E-06,0.99312
directDist,0.001,0.05,2,1.24E-06,0.99517
directDist,0.001,0.05,2.2,8.33E-07,0.99607
directDist,0.001,0.05,2.4,6.49E-07,0.99654
directDist,0.001,0.05,2.6,5.53E-07,0.99681
directDist,0.001,0.05,2.8,4.98E-07,0.99698
directDist,0.001,0.05,3,4.64E-07,0.99708
directDist,0.001,0.05,3.2,4.44E-07,0.99714
directDist,0.001,0.05,3.4,4.32E-07,0.99718
directDist,0.001,0.05,3.6,4.25E-07,0.9972
directDist,0.001,0.05,3.8,4.22E-07,0.99721
directDist,0.001,0.05,4,4.22E-07,0.99721
directDist,0.001,0.05,4.2,4.24E-07,0.99721
directDist,0.001,0.05,4.4,4.28E-07,0.99719
directDist,0.001,0.05,4.6,4.33E-07,0.99718
directDist,0.001,0.05,4.8,4.40E-07,0.99716
directDist,0.001,0.05,5,4.47E-07,0.99713
directDist,0.001,0.055,1,5.41E-08,0.6027
directDist,0.001,0.055,1.2,5.87E-05,0.80393
directDist,0.001,0.055,1.4,3.38E-05,0.95807
directDist,0.001,0.055,1.6,5.61E-06,0.98755
directDist,0.001,0.055,1.8,1.72E-06,0.99361
directDist,0.001,0.055,2,8.57E-07,0.99558
directDist,0.001,0.055,2.2,5.63E-07,0.99644
directDist,0.001,0.055,2.4,4.33E-07,0.99688
directDist,0.001,0.055,2.6,3.64E-07,0.99714
directDist,0.001,0.055,2.8,3.24E-07,0.9973
directDist,0.001,0.055,3,3.00E-07,0.99741
directDist,0.001,0.055,3.2,2.84E-07,0.99748
directDist,0.001,0.055,3.4,2.74E-07,0.99752
directDist,0.001,0.055,3.6,2.67E-07,0.99755
directDist,0.001,0.055,3.8,2.64E-07,0.99757
directDist,0.001,0.055,4,2.62E-07,0.99758
directDist,0.001,0.055,4.2,2.61E-07,0.99758
directDist,0.001,0.055,4.4,2.61E-07,0.99758
directDist,0.001,0.055,4.6,2.62E-07,0.99757
directDist,0.001,0.055,4.8,2.64E-07,0.99757
directDist,0.001,0.055,5,2.67E-07,0.99755
directDist,0.001,0.06,1,1.59E-08,0.60203
directDist,0.001,0.06,1.2,4.95E-05,0.80244
directDist,0.001,0.06,1.4,2.82E-05,0.95835
directDist,0.001,0.06,1.6,4.39E-06,0.988
directDist,0.001,0.06,1.8,1.29E-06,0.99396
directDist,0.001,0.06,2,6.25E-07,0.99587
directDist,0.001,0.06,2.2,4.04E-07,0.99669
directDist,0.001,0.06,2.4,3.07E-07,0.99712
directDist,0.001,0.06,2.6,2.56E-07,0.99737
directDist,0.001,0.06,2.8,2.26E-07,0.99753
directDist,0.001,0.06,3,2.07E-07,0.99764
directDist,0.001,0.06,3.2,1.95E-07,0.99771
directDist,0.001,0.06,3.4,1.87E-07,0.99775
directDist,0.001,0.06,3.6,1.82E-07,0.99779
directDist,0.001,0.06,3.8,1.78E-07,0.99781
directDist,0.001,0.06,4,1.76E-07,0.99782
directDist,0.001,0.06,4.2,1.74E-07,0.99783
directDist,0.001,0.06,4.4,1.74E-07,0.99784
directDist,0.001,0.06,4.6,1.73E-07,0.99784
directDist,0.001,0.06,4.8,1.74E-07,0.99784
directDist,0.001,0.06,5,1.74E-07,0.99783
directDist,0.001,0.065,1,4.60E-09,0.60152
directDist,0.001,0.065,1.2,4.24E-05,0.80118
directDist,0.001,0.065,1.4,2.39E-05,0.95849
directDist,0.001,0.065,1.6,3.54E-06,0.98832
directDist,0.001,0.065,1.8,9.99E-07,0.99422
directDist,0.001,0.065,2,4.75E-07,0.99608
directDist,0.001,0.065,2.2,3.03E-07,0.99688
directDist,0.001,0.065,2.4,2.28E-07,0.9973
directDist,0.001,0.065,2.6,1.89E-07,0.99755
directDist,0.001,0.065,2.8,1.66E-07,0.9977
directDist,0.001,0.065,3,1.51E-07,0.9978
directDist,0.001,0.065,3.2,1.42E-07,0.99787
directDist,0.001,0.065,3.4,1.35E-07,0.99792
directDist,0.001,0.065,3.6,1.31E-07,0.99796
directDist,0.001,0.065,3.8,1.28E-07,0.99798
directDist,0.001,0.065,4,1.25E-07,0.998
directDist,0.001,0.065,4.2,1.24E-07,0.99801
directDist,0.001,0.065,4.4,1.23E-07,0.99802
directDist,0.001,0.065,4.6,1.22E-07,0.99803
directDist,0.001,0.065,4.8,1.22E-07,0.99803
directDist,0.001,0.065,5,1.22E-07,0.99803
directDist,0.001,0.07,1,1.31E-09,0.60113
directDist,0.001,0.07,1.2,3.67E-05,0.80011
directDist,0.001,0.07,1.4,2.06E-05,0.95855
directDist,0.001,0.07,1.6,2.93E-06,0.98856
directDist,0.001,0.07,1.8,8.01E-07,0.99441
directDist,0.001,0.07,2,3.74E-07,0.99625
directDist,0.001,0.07,2.2,2.36E-07,0.99703
directDist,0.001,0.07,2.4,1.76E-07,0.99744
directDist,0.001,0.07,2.6,1.45E-07,0.99768
directDist,0.001,0.07,2.8,1.26E-07,0.99783
directDist,0.001,0.07,3,1.15E-07,0.99793
directDist,0.001,0.07,3.2,1.07E-07,0.998
directDist,0.001,0.07,3.4,1.02E-07,0.99805
directDist,0.001,0.07,3.6,9.82E-08,0.99809
directDist,0.001,0.07,3.8,9.55E-08,0.99811
directDist,0.001,0.07,4,9.36E-08,0.99813
directDist,0.001,0.07,4.2,9.22E-08,0.99815
directDist,0.001,0.07,4.4,9.12E-08,0.99816
directDist,0.001,0.07,4.6,9.06E-08,0.99816
directDist,0.001,0.07,4.8,9.01E-08,0.99817
directDist,0.001,0.07,5,8.99E-08,0.99817
directDist,0.001,0.075,1,3.67E-10,0.60082
directDist,0.001,0.075,1.2,3.21E-05,0.79921
directDist,0.001,0.075,1.4,1.80E-05,0.95856
directDist,0.001,0.075,1.6,2.46E-06,0.98874
directDist,0.001,0.075,1.8,6.57E-07,0.99456
directDist,0.001,0.075,2,3.02E-07,0.99637
directDist,0.001,0.075,2.2,1.88E-07,0.99715
directDist,0.001,0.075,2.4,1.40E-07,0.99755
directDist,0.001,0.075,2.6,1.14E-07,0.99778
directDist,0.001,0.075,2.8,9.95E-08,0.99793
directDist,0.001,0.075,3,9.00E-08,0.99803
directDist,0.001,0.075,3.2,8.38E-08,0.9981
directDist,0.001,0.075,3.4,7.94E-08,0.99815
directDist,0.001,0.075,3.6,7.63E-08,0.99819
directDist,0.001,0.075,3.8,7.40E-08,0.99821
directDist,0.001,0.075,4,7.24E-08,0.99823
directDist,0.001,0.075,4.2,7.11E-08,0.99825
directDist,0.001,0.075,4.4,7.02E-08,0.99826
directDist,0.001,0.075,4.6,6.96E-08,0.99827
directDist,0.001,0.075,4.8,6.91E-08,0.99827
directDist,0.001,0.075,5,6.88E-08,0.99828
directDist,0.001,0.08,1,1.02E-10,0.60058
directDist,0.001,0.08,1.2,2.83E-05,0.79844
directDist,0.001,0.08,1.4,1.59E-05,0.95854
directDist,0.001,0.08,1.6,2.11E-06,0.98888
directDist,0.001,0.08,1.8,5.49E-07,0.99468
directDist,0.001,0.08,2,2.49E-07,0.99648
directDist,0.001,0.08,2.2,1.54E-07,0.99724
directDist,0.001,0.08,2.4,1.13E-07,0.99763
directDist,0.001,0.08,2.6,9.24E-08,0.99786
directDist,0.001,0.08,2.8,8.01E-08,0.99801
directDist,0.001,0.08,3,7.25E-08,0.99811
directDist,0.001,0.08,3.2,6.72E-08,0.99818
directDist,0.001,0.08,3.4,6.36E-08,0.99823
directDist,0.001,0.08,3.6,6.09E-08,0.99826
directDist,0.001,0.08,3.8,5.90E-08,0.99829
directDist,0.001,0.08,4,5.76E-08,0.99831
directDist,0.001,0.08,4.2,5.65E-08,0.99833
directDist,0.001,0.08,4.4,5.57E-08,0.99834
directDist,0.001,0.08,4.6,5.50E-08,0.99835
directDist,0.001,0.08,4.8,5.46E-08,0.99836
directDist,0.001,0.08,5,5.43E-08,0.99836
directDist,0.001,0.085,1,2.80E-11,0.60039
directDist,0.001,0.085,1.2,2.52E-05,0.79777
directDist,0.001,0.085,1.4,1.41E-05,0.9585
directDist,0.001,0.085,1.6,1.83E-06,0.98899
directDist,0.001,0.085,1.8,4.67E-07,0.99478
directDist,0.001,0.085,2,2.09E-07,0.99656
directDist,0.001,0.085,2.2,1.28E-07,0.99731
directDist,0.001,0.085,2.4,9.40E-08,0.9977
directDist,0.001,0.085,2.6,7.63E-08,0.99793
directDist,0.001,0.085,2.8,6.60E-08,0.99808
directDist,0.001,0.085,3,5.95E-08,0.99817
directDist,0.001,0.085,3.2,5.51E-08,0.99824
directDist,0.001,0.085,3.4,5.20E-08,0.99829
directDist,0.001,0.085,3.6,4.97E-08,0.99833
directDist,0.001,0.085,3.8,4.81E-08,0.99836
directDist,0.001,0.085,4,4.69E-08,0.99838
directDist,0.001,0.085,4.2,4.59E-08,0.99839
directDist,0.001,0.085,4.4,4.52E-08,0.99841
directDist,0.001,0.085,4.6,4.46E-08,0.99842
directDist,0.001,0.085,4.8,4.42E-08,0.99843
directDist,0.001,0.085,5,4.39E-08,0.99843
directDist,0.001,0.09,1,7.63E-12,0.60024
directDist,0.001,0.09,1.2,2.26E-05,0.79719
directDist,0.001,0.09,1.4,1.26E-05,0.95846
directDist,0.001,0.09,1.6,1.60E-06,0.98908
directDist,0.001,0.09,1.8,4.02E-07,0.99486
directDist,0.001,0.09,2,1.78E-07,0.99663
directDist,0.001,0.09,2.2,1.09E-07,0.99738
directDist,0.001,0.09,2.4,7.91E-08,0.99776
directDist,0.001,0.09,2.6,6.40E-08,0.99799
directDist,0.001,0.09,2.8,5.52E-08,0.99813
directDist,0.001,0.09,3,4.96E-08,0.99823
directDist,0.001,0.09,3.2,4.59E-08,0.9983
directDist,0.001,0.09,3.4,4.33E-08,0.99835
directDist,0.001,0.09,3.6,4.14E-08,0.99838
directDist,0.001,0.09,3.8,4.00E-08,0.99841
directDist,0.001,0.09,4,3.89E-08,0.99843
directDist,0.001,0.09,4.2,3.80E-08,0.99845
directDist,0.001,0.09,4.4,3.74E-08,0.99846
directDist,0.001,0.09,4.6,3.69E-08,0.99847
directDist,0.001,0.09,4.8,3.65E-08,0.99848
directDist,0.001,0.09,5,3.62E-08,0.99849
directDist,0.001,0.095,1,2.06E-12,0.60012
directDist,0.001,0.095,1.2,2.03E-05,0.79669
directDist,0.001,0.095,1.4,1.13E-05,0.95841
directDist,0.001,0.095,1.6,1.41E-06,0.98915
directDist,0.001,0.095,1.8,3.50E-07,0.99493
directDist,0.001,0.095,2,1.54E-07,0.99669
