Environment,Alpha,Lambda,Beta,Var,Total_prop_Ls
directDist,0.005,0.015,4.4,0.14027,0.70549
directDist,0.005,0.015,4.6,0.14028,0.70549
directDist,0.005,0.015,4.8,0.14029,0.70549
directDist,0.005,0.015,5,0.14029,0.70548
directDist,0.005,0.02,1,7.32E-05,0.58171
directDist,0.005,0.02,1.2,1.53E-05,0.99872
directDist,0.005,0.02,1.4,0.0043795,0.97868
directDist,0.005,0.02,1.6,0.042507,0.88237
directDist,0.005,0.02,1.8,0.062685,0.83578
directDist,0.005,0.02,2,0.076961,0.81334
directDist,0.005,0.02,2.2,0.080004,0.81114
directDist,0.005,0.02,2.4,0.099678,0.77774
directDist,0.005,0.02,2.6,0.10105,0.77695
directDist,0.005,0.02,2.8,0.10682,0.761
directDist,0.005,0.02,3,0.1171,0.73751
directDist,0.005,0.02,3.2,0.1175,0.73728
directDist,0.005,0.02,3.4,0.1227,0.7191
directDist,0.005,0.02,3.6,0.12288,0.71901
directDist,0.005,0.02,3.8,0.123,0.71895
directDist,0.005,0.02,4,0.12309,0.7189
directDist,0.005,0.02,4.2,0.12796,0.70515
directDist,0.005,0.02,4.4,0.128,0.70513
directDist,0.005,0.02,4.6,0.12803,0.70512
directDist,0.005,0.02,4.8,0.12805,0.70511
directDist,0.005,0.02,5,0.12807,0.7051
directDist,0.005,0.025,1,1.99E-05,0.58511
directDist,0.005,0.025,1.2,2.57E-06,0.9996
directDist,0.005,0.025,1.4,9.66E-08,0.99994
directDist,0.005,0.025,1.6,0.0080001,0.9692
directDist,0.005,0.025,1.8,0.040503,0.88194
directDist,0.005,0.025,2,0.058196,0.83613
directDist,0.005,0.025,2.2,0.065359,0.82363
directDist,0.005,0.025,2.4,0.073456,0.81103
directDist,0.005,0.025,2.6,0.082047,0.79247
directDist,0.005,0.025,2.8,0.092735,0.77689
directDist,0.005,0.025,3,0.093643,0.77626
directDist,0.005,0.025,3.2,0.098618,0.76043
directDist,0.005,0.025,3.4,0.10774,0.73728
directDist,0.005,0.025,3.6,0.11257,0.71897
directDist,0.005,0.025,3.8,0.11277,0.71884
directDist,0.005,0.025,4,0.11292,0.71874
directDist,0.005,0.025,4.2,0.11302,0.71867
directDist,0.005,0.025,4.4,0.1131,0.71862
directDist,0.005,0.025,4.6,0.11759,0.70496
directDist,0.005,0.025,4.8,0.11763,0.70493
directDist,0.005,0.025,5,0.11765,0.70492
directDist,0.005,0.03,1,5.53E-06,0.58846
directDist,0.005,0.03,1.2,5.52E-07,0.99984
directDist,0.005,0.03,1.4,8.11E-09,0.99999
directDist,0.005,0.03,1.6,1.74E-08,0.99997
directDist,0.005,0.03,1.8,0.0082813,0.96785
directDist,0.005,0.03,2,0.035145,0.88808
directDist,0.005,0.03,2.2,0.051271,0.84114
directDist,0.005,0.03,2.4,0.057053,0.83232
directDist,0.005,0.03,2.6,0.06586,0.8132
directDist,0.005,0.03,2.8,0.075927,0.79225
directDist,0.005,0.03,3,0.076845,0.79139
directDist,0.005,0.03,3.2,0.086289,0.77633
directDist,0.005,0.03,3.4,0.08705,0.77572
directDist,0.005,0.03,3.6,0.091438,0.76
directDist,0.005,0.03,3.8,0.099625,0.73716
directDist,0.005,0.03,4,0.10403,0.71884
directDist,0.005,0.03,4.2,0.1042,0.7187
directDist,0.005,0.03,4.4,0.10432,0.7186
directDist,0.005,0.03,4.6,0.10442,0.71852
directDist,0.005,0.03,4.8,0.10859,0.70494
directDist,0.005,0.03,5,0.10864,0.7049
directDist,0.005,0.035,1,1.55E-06,0.59172
directDist,0.005,0.035,1.2,1.33E-07,0.99993
directDist,0.005,0.035,1.4,1.22E-09,1
directDist,0.005,0.035,1.6,5.92E-10,1
directDist,0.005,0.035,1.8,1.56E-08,0.99996
directDist,0.005,0.035,2,0.0079375,0.9695
directDist,0.005,0.035,2.2,0.029301,0.90608
directDist,0.005,0.035,2.4,0.040453,0.87261
directDist,0.005,0.035,2.6,0.053094,0.83223
directDist,0.005,0.035,2.8,0.054529,0.83022
directDist,0.005,0.035,3,0.070314,0.79243
directDist,0.005,0.035,3.2,0.071381,0.79124
directDist,0.005,0.035,3.4,0.072033,0.79053
directDist,0.005,0.035,3.6,0.077517,0.77951
directDist,0.005,0.035,3.8,0.081131,0.77534
directDist,0.005,0.035,4,0.085087,0.7597
directDist,0.005,0.035,4.2,0.089373,0.74134
directDist,0.005,0.035,4.4,0.096568,0.71881
directDist,0.005,0.035,4.6,0.09671,0.71867
directDist,0.005,0.035,4.8,0.096819,0.71856
directDist,0.005,0.035,5,0.096902,0.71848
directDist,0.005,0.04,1,4.32E-07,0.59485
directDist,0.005,0.04,1.2,3.43E-08,0.99996
directDist,0.005,0.04,1.4,2.25E-10,1
directDist,0.005,0.04,1.6,7.13E-11,1
directDist,0.005,0.04,1.8,1.46E-10,1
directDist,0.005,0.04,2,8.68E-09,0.99997
directDist,0.005,0.04,2.2,0.0074045,0.97029
directDist,0.005,0.04,2.4,0.022989,0.92209
directDist,0.005,0.04,2.6,0.037622,0.87431
directDist,0.005,0.04,2.8,0.044343,0.85121
directDist,0.005,0.04,3,0.050917,0.83005
directDist,0.005,0.04,3.2,0.060881,0.80382
directDist,0.005,0.04,3.4,0.066259,0.79154
directDist,0.005,0.04,3.6,0.067108,0.79049
directDist,0.005,0.04,3.8,0.067622,0.78986
directDist,0.005,0.04,4,0.072664,0.77902
directDist,0.005,0.04,4.2,0.072941,0.7787
directDist,0.005,0.04,4.4,0.079416,0.75952
directDist,0.005,0.04,4.6,0.083382,0.74114
directDist,0.005,0.04,4.8,0.083543,0.74095
directDist,0.005,0.04,5,0.090104,0.71872
directDist,0.005,0.045,1,1.21E-07,0.59779
directDist,0.005,0.045,1.2,9.38E-09,0.99998
directDist,0.005,0.045,1.4,4.64E-11,1
directDist,0.005,0.045,1.6,1.19E-11,1
directDist,0.005,0.045,1.8,1.33E-11,1
directDist,0.005,0.045,2,5.98E-11,1
directDist,0.005,0.045,2.2,2.72E-09,0.99998
directDist,0.005,0.045,2.4,0.0064626,0.97135
directDist,0.005,0.045,2.6,0.020116,0.92489
directDist,0.005,0.045,2.8,0.029753,0.89278
directDist,0.005,0.045,3,0.03672,0.87168
directDist,0.005,0.045,3.2,0.04692,0.83138
directDist,0.005,0.045,3.4,0.053805,0.81189
directDist,0.005,0.045,3.6,0.054465,0.81051
directDist,0.005,0.045,3.8,0.061542,0.79213
directDist,0.005,0.045,4,0.063119,0.78997
directDist,0.005,0.045,4.2,0.063574,0.78936
directDist,0.005,0.045,4.4,0.068257,0.77867
directDist,0.005,0.045,4.6,0.068499,0.77835
directDist,0.005,0.045,4.8,0.077835,0.74126
directDist,0.005,0.045,5,0.078025,0.74102
directDist,0.005,0.05,1,3.37E-08,0.60049
directDist,0.005,0.05,1.2,2.69E-09,0.99999
directDist,0.005,0.05,1.4,1.03E-11,1
directDist,0.005,0.05,1.6,2.30E-12,1
directDist,0.005,0.05,1.8,2.01E-12,1
directDist,0.005,0.05,2,3.71E-12,1
directDist,0.005,0.05,2.2,2.42E-11,1
directDist,0.005,0.05,2.4,5.86E-10,0.99999
directDist,0.005,0.05,2.6,2.53E-06,0.99811
directDist,0.005,0.05,2.8,0.0077046,0.96605
directDist,0.005,0.05,3,0.021601,0.91966
directDist,0.005,0.05,3.2,0.034239,0.87223
directDist,0.005,0.05,3.4,0.035302,0.87014
directDist,0.005,0.05,3.6,0.044646,0.83021
directDist,0.005,0.05,3.8,0.051082,0.81085
directDist,0.005,0.05,4,0.051566,0.81
directDist,0.005,0.05,4.2,0.054701,0.80172
directDist,0.005,0.05,4.4,0.059248,0.78991
directDist,0.005,0.05,4.6,0.059828,0.78905
directDist,0.005,0.05,4.8,0.060136,0.7886
directDist,0.005,0.05,5,0.064456,0.77812
directDist,0.005,0.055,1,9.38E-09,0.60294
directDist,0.005,0.055,1.2,8.05E-10,0.99999
directDist,0.005,0.055,1.4,2.39E-12,1
directDist,0.005,0.055,1.6,4.84E-13,1
directDist,0.005,0.055,1.8,3.64E-13,1
directDist,0.005,0.055,2,5.01E-13,1
directDist,0.005,0.055,2.2,1.19E-12,1
directDist,0.005,0.055,2.4,7.55E-12,1
directDist,0.005,0.055,2.6,1.02E-10,1
directDist,0.005,0.055,2.8,1.86E-08,0.99992
directDist,0.005,0.055,3,0.0070374,0.96829
directDist,0.005,0.055,3.2,0.014798,0.93294
directDist,0.005,0.055,3.4,0.021275,0.91624
directDist,0.005,0.055,3.6,0.033046,0.87056
directDist,0.005,0.055,3.8,0.033763,0.86908
directDist,0.005,0.055,4,0.047839,0.81129
directDist,0.005,0.055,4.2,0.048463,0.81009
directDist,0.005,0.055,4.4,0.048865,0.80933
directDist,0.005,0.055,4.6,0.049151,0.80879
directDist,0.005,0.055,4.8,0.049527,0.80652
directDist,0.005,0.055,5,0.053392,0.79538
directDist,0.005,0.06,1,2.60E-09,0.6051
directDist,0.005,0.06,1.2,2.52E-10,1
directDist,0.005,0.06,1.4,5.80E-13,1
directDist,0.005,0.06,1.6,1.07E-13,1
directDist,0.005,0.06,1.8,7.31E-14,1
directDist,0.005,0.06,2,8.61E-14,1
directDist,0.005,0.06,2.2,1.44E-13,1
directDist,0.005,0.06,2.4,3.89E-13,1
directDist,0.005,0.06,2.6,1.99E-12,1
directDist,0.005,0.06,2.8,1.64E-11,1
directDist,0.005,0.06,3,5.26E-10,0.99999
directDist,0.005,0.06,3.2,7.49E-05,0.99172
directDist,0.005,0.06,3.4,0.007086,0.96712
directDist,0.005,0.06,3.6,0.019212,0.91975
directDist,0.005,0.06,3.8,0.02046,0.91579
directDist,0.005,0.06,4,0.031637,0.86957
directDist,0.005,0.06,4.2,0.032216,0.8683
directDist,0.005,0.06,4.4,0.045366,0.81081
directDist,0.005,0.06,4.6,0.045966,0.80957
directDist,0.005,0.06,4.8,0.046329,0.80883
directDist,0.005,0.06,5,0.046587,0.80831
directDist,0.005,0.065,1,7.20E-10,0.60697
directDist,0.005,0.065,1.2,8.27E-11,1
directDist,0.005,0.065,1.4,1.46E-13,1
directDist,0.005,0.065,1.6,2.49E-14,1
directDist,0.005,0.065,1.8,1.56E-14,1
directDist,0.005,0.065,2,1.65E-14,1
directDist,0.005,0.065,2.2,2.36E-14,1
directDist,0.005,0.065,2.4,4.27E-14,1
directDist,0.005,0.065,2.6,1.17E-13,1
directDist,0.005,0.065,2.8,4.69E-13,1
directDist,0.005,0.065,3,2.59E-12,1
directDist,0.005,0.065,3.2,2.98E-11,1
directDist,0.005,0.065,3.4,2.41E-09,0.99997
directDist,0.005,0.065,3.6,0.0063921,0.96794
directDist,0.005,0.065,3.8,0.00692,0.96652
directDist,0.005,0.065,4,0.018541,0.9189
directDist,0.005,0.065,4.2,0.019491,0.9167
directDist,0.005,0.065,4.4,0.030102,0.86916
directDist,0.005,0.065,4.6,0.030694,0.86775
directDist,0.005,0.065,4.8,0.036734,0.82621
directDist,0.005,0.065,5,0.043562,0.80934
directDist,0.005,0.07,1,1.99E-10,0.60855
directDist,0.005,0.07,1.2,2.84E-11,1
directDist,0.005,0.07,1.4,3.77E-14,1
directDist,0.005,0.07,1.6,5.98E-15,1
directDist,0.005,0.07,1.8,3.48E-15,1
directDist,0.005,0.07,2,3.40E-15,1
directDist,0.005,0.07,2.2,4.39E-15,1
directDist,0.005,0.07,2.4,6.80E-15,1
directDist,0.005,0.07,2.6,1.27E-14,1
directDist,0.005,0.07,2.8,3.21E-14,1
directDist,0.005,0.07,3,1.04E-13,1
directDist,0.005,0.07,3.2,4.16E-13,1
directDist,0.005,0.07,3.4,2.51E-12,1
directDist,0.005,0.07,3.6,3.42E-11,1
directDist,0.005,0.07,3.8,4.78E-09,0.99996
directDist,0.005,0.07,4,0.0063195,0.96721
directDist,0.005,0.07,4.2,0.0066829,0.96624
directDist,0.005,0.07,4.4,0.012144,0.94132
directDist,0.005,0.07,4.6,0.018577,0.91657
directDist,0.005,0.07,4.8,0.019446,0.90806
directDist,0.005,0.07,5,0.029184,0.86749
directDist,0.005,0.075,1,5.47E-11,0.60986
directDist,0.005,0.075,1.2,1.02E-11,1
directDist,0.005,0.075,1.4,1.00E-14,1
directDist,0.005,0.075,1.6,1.47E-15,1
directDist,0.005,0.075,1.8,8.15E-16,1
directDist,0.005,0.075,2,7.33E-16,1
directDist,0.005,0.075,2.2,8.94E-16,1
directDist,0.005,0.075,2.4,1.24E-15,1
directDist,0.005,0.075,2.6,1.97E-15,1
directDist,0.005,0.075,2.8,3.63E-15,1
directDist,0.005,0.075,3,8.13E-15,1
directDist,0.005,0.075,3.2,2.19E-14,1
directDist,0.005,0.075,3.4,6.93E-14,1
directDist,0.005,0.075,3.6,2.73E-13,1
directDist,0.005,0.075,3.8,1.59E-12,1
directDist,0.005,0.075,4,1.97E-11,1
directDist,0.005,0.075,4.2,1.91E-09,0.99997
directDist,0.005,0.075,4.4,0.006064,0.96697
directDist,0.005,0.075,4.6,0.0064128,0.96604
directDist,0.005,0.075,4.8,0.006575,0.96521
directDist,0.005,0.075,5,0.017561,0.91671
directDist,0.005,0.08,1,1.50E-11,0.61091
directDist,0.005,0.08,1.2,3.85E-12,1
directDist,0.005,0.08,1.4,2.67E-15,1
directDist,0.005,0.08,1.6,3.68E-16,1
directDist,0.005,0.08,1.8,1.97E-16,1
directDist,0.005,0.08,2,1.72E-16,1
directDist,0.005,0.08,2.2,1.92E-16,1
directDist,0.005,0.08,2.4,2.50E-16,1
directDist,0.005,0.08,2.6,3.58E-16,1
directDist,0.005,0.08,2.8,5.67E-16,1
directDist,0.005,0.08,3,9.90E-16,1
directDist,0.005,0.08,3.2,1.99E-15,1
directDist,0.005,0.08,3.4,4.61E-15,1
directDist,0.005,0.08,3.6,1.15E-14,1
directDist,0.005,0.08,3.8,3.44E-14,1
directDist,0.005,0.08,4,1.26E-13,1
directDist,0.005,0.08,4.2,6.30E-13,1
directDist,0.005,0.08,4.4,5.62E-12,1
directDist,0.005,0.08,4.6,1.93E-10,0.99999
directDist,0.005,0.08,4.8,0.00010112,0.98875
directDist,0.005,0.08,5,0.0061106,0.96595
directDist,0.005,0.085,1,4.09E-12,0.61172
directDist,0.005,0.085,1.2,1.52E-12,1
directDist,0.005,0.085,1.4,7.44E-16,1
directDist,0.005,0.085,1.6,9.82E-17,1
directDist,0.005,0.085,1.8,4.80E-17,1
directDist,0.005,0.085,2,4.08E-17,1
directDist,0.005,0.085,2.2,4.20E-17,1
directDist,0.005,0.085,2.4,5.08E-17,1
directDist,0.005,0.085,2.6,6.65E-17,1
directDist,0.005,0.085,2.8,1.01E-16,1
directDist,0.005,0.085,3,1.59E-16,1
directDist,0.005,0.085,3.2,2.47E-16,1
directDist,0.005,0.085,3.4,4.81E-16,1
directDist,0.005,0.085,3.6,9.69E-16,1
directDist,0.005,0.085,3.8,2.09E-15,1
directDist,0.005,0.085,4,5.01E-15,1
directDist,0.005,0.085,4.2,1.33E-14,1
directDist,0.005,0.085,4.4,4.22E-14,1
directDist,0.005,0.085,4.6,1.69E-13,1
directDist,0.005,0.085,4.8,9.82E-13,1
directDist,0.005,0.085,5,1.20E-11,1
directDist,0.005,0.09,1,1.11E-12,0.61232
directDist,0.005,0.09,1.2,6.36E-13,1
directDist,0.005,0.09,1.4,2.17E-16,1
directDist,0.005,0.09,1.6,2.47E-17,1
directDist,0.005,0.09,1.8,1.23E-17,1
directDist,0.005,0.09,2,9.44E-18,1
directDist,0.005,0.09,2.2,9.71E-18,1
directDist,0.005,0.09,2.4,1.11E-17,1
directDist,0.005,0.09,2.6,1.44E-17,1
directDist,0.005,0.09,2.8,1.96E-17,1
directDist,0.005,0.09,3,2.93E-17,1
directDist,0.005,0.09,3.2,4.11E-17,1
directDist,0.005,0.09,3.4,6.83E-17,1
directDist,0.005,0.09,3.6,1.14E-16,1
directDist,0.005,0.09,3.8,2.05E-16,1
directDist,0.005,0.09,4,3.76E-16,1
directDist,0.005,0.09,4.2,7.52E-16,1
directDist,0.005,0.09,4.4,1.62E-15,1
directDist,0.005,0.09,4.6,4.15E-15,1
directDist,0.005,0.09,4.8,1.11E-14,1
directDist,0.005,0.09,5,3.44E-14,1
directDist,0.005,0.095,1,2.98E-13,0.61272
directDist,0.005,0.095,1.2,2.78E-13,1
directDist,0.005,0.095,1.4,5.81E-17,1
directDist,0.005,0.095,1.6,6.88E-18,1
directDist,0.005,0.095,1.8,3.10E-18,1
directDist,0.005,0.095,2,2.50E-18,1
directDist,0.005,0.095,2.2,2.46E-18,1
directDist,0.005,0.095,2.4,2.79E-18,1
directDist,0.005,0.095,2.6,3.38E-18,1
directDist,0.005,0.095,2.8,4.30E-18,1
directDist,0.005,0.095,3,5.24E-18,1
directDist,0.005,0.095,3.2,7.68E-18,1
directDist,0.005,0.095,3.4,1.19E-17,1
directDist,0.005,0.095,3.6,1.65E-17,1
directDist,0.005,0.095,3.8,2.71E-17,1
directDist,0.005,0.095,4,4.35E-17,1
directDist,0.005,0.095,4.2,7.06E-17,1
directDist,0.005,0.095,4.4,1.25E-16,1
directDist,0.005,0.095,4.6,2.36E-16,1
directDist,0.005,0.095,4.8,4.99E-16,1
directDist,0.005,0.095,5,1.06E-15,1
directDist,0.005,0.1,1,7.83E-14,0.61295
directDist,0.005,0.1,1.2,1.29E-13,1
directDist,0.005,0.1,1.4,1.78E-17,1
directDist,0.005,0.1,1.6,1.92E-18,1
directDist,0.005,0.1,1.8,7.68E-19,1
directDist,0.005,0.1,2,5.39E-19,1
directDist,0.005,0.1,2.2,5.77E-19,1
directDist,0.005,0.1,2.4,6.45E-19,1
directDist,0.005,0.1,2.6,7.82E-19,1
directDist,0.005,0.1,2.8,9.75E-19,1
directDist,0.005,0.1,3,1.25E-18,1
directDist,0.005,0.1,3.2,1.57E-18,1
directDist,0.005,0.1,3.4,2.24E-18,1
directDist,0.005,0.1,3.6,3.02E-18,1
directDist,0.005,0.1,3.8,3.82E-18,1
directDist,0.005,0.1,4,6.33E-18,1
directDist,0.005,0.1,4.2,8.53E-18,1
directDist,0.005,0.1,4.4,1.32E-17,1
directDist,0.005,0.1,4.6,2.14E-17,1
directDist,0.005,0.1,4.8,4.02E-17,1
directDist,0.005,0.1,5,5.69E-17,1
directDist,0.01,0,1,NaN,0.5748
directDist,0.01,0,1.2,NaN,0.5748
directDist,0.01,0,1.4,NaN,0.5748
directDist,0.01,0,1.6,NaN,0.5748
directDist,0.01,0,1.8,NaN,0.5748
directDist,0.01,0,2,NaN,0.5748
directDist,0.01,0,2.2,NaN,0.5748
directDist,0.01,0,2.4,NaN,0.5748
directDist,0.01,0,2.6,NaN,0.5748
directDist,0.01,0,2.8,NaN,0.5748
directDist,0.01,0,3,NaN,0.5748
directDist,0.01,0,3.2,NaN,0.5748
directDist,0.01,0,3.4,NaN,0.5748
directDist,0.01,0,3.6,NaN,0.5748
directDist,0.01,0,3.8,NaN,0.5748
directDist,0.01,0,4,NaN,0.5748
directDist,0.01,0,4.2,NaN,0.5748
directDist,0.01,0,4.4,NaN,0.5748
directDist,0.01,0,4.6,NaN,0.5748
directDist,0.01,0,4.8,NaN,0.5748
directDist,0.01,0,5,NaN,0.5748
directDist,0.01,0.005,1,0.0051351,0.56779
directDist,0.01,0.005,1.2,0.12449,0.79036
directDist,0.01,0.005,1.4,0.16583,0.73986
directDist,0.01,0.005,1.6,0.16789,0.73975
directDist,0.01,0.005,1.8,0.16861,0.73969
directDist,0.01,0.005,2,0.17644,0.72202
directDist,0.01,0.005,2.2,0.17658,0.72201
directDist,0.01,0.005,2.4,0.17664,0.72201
directDist,0.01,0.005,2.6,0.17667,0.722
directDist,0.01,0.005,2.8,0.1838,0.70799
directDist,0.01,0.005,3,0.19617,0.6862
directDist,0.01,0.005,3.2,0.20173,0.67736
directDist,0.01,0.005,3.4,0.20173,0.67736
directDist,0.01,0.005,3.6,0.20686,0.67217
directDist,0.01,0.005,3.8,0.20686,0.67217
directDist,0.01,0.005,4,0.20686,0.67217
directDist,0.01,0.005,4.2,0.20686,0.67217
directDist,0.01,0.005,4.4,0.20686,0.67217
directDist,0.01,0.005,4.6,0.20686,0.67217
directDist,0.01,0.005,4.8,0.20686,0.67217
directDist,0.01,0.005,5,0.20686,0.67217
directDist,0.01,0.01,1,0.00098942,0.57051
directDist,0.01,0.01,1.2,0.090653,0.81632
directDist,0.01,0.01,1.4,0.11956,0.79742
directDist,0.01,0.01,1.6,0.15564,0.73948
directDist,0.01,0.01,1.8,0.15762,0.73923
directDist,0.01,0.01,2,0.1585,0.7391
directDist,0.01,0.01,2.2,0.15893,0.73903
directDist,0.01,0.01,2.4,0.16615,0.72127
directDist,0.01,0.01,2.6,0.16627,0.72125
directDist,0.01,0.01,2.8,0.16633,0.72125
directDist,0.01,0.01,3,0.17299,0.70726
directDist,0.01,0.01,3.2,0.17301,0.70725
directDist,0.01,0.01,3.4,0.17302,0.70725
directDist,0.01,0.01,3.6,0.1841,0.68571
directDist,0.01,0.01,3.8,0.1841,0.68571
directDist,0.01,0.01,4,0.1891,0.67703
directDist,0.01,0.01,4.2,0.1891,0.67703
directDist,0.01,0.01,4.4,0.1891,0.67703
directDist,0.01,0.01,4.6,0.1937,0.67212
directDist,0.01,0.01,4.8,0.1937,0.67212
directDist,0.01,0.01,5,0.1937,0.67212
directDist,0.01,0.015,1,0.00022774,0.5727
directDist,0.01,0.015,1.2,0.048895,0.87662
directDist,0.01,0.015,1.4,0.094647,0.81468
directDist,0.01,0.015,1.6,0.11471,0.7968
directDist,0.01,0.015,1.8,0.13382,0.76714
directDist,0.01,0.015,2,0.14888,0.7388
directDist,0.01,0.015,2.2,0.14971,0.73863
directDist,0.01,0.015,2.4,0.15015,0.73853
directDist,0.01,0.015,2.6,0.15693,0.72067
directDist,0.01,0.015,2.8,0.15708,0.72064
directDist,0.01,0.015,3,0.15716,0.72063
directDist,0.01,0.015,3.2,0.15721,0.72062
directDist,0.01,0.015,3.4,0.16346,0.70666
directDist,0.01,0.015,3.6,0.16348,0.70666
directDist,0.01,0.015,3.8,0.16349,0.70666
directDist,0.01,0.015,4,0.16349,0.70666
directDist,0.01,0.015,4.2,0.17349,0.68536
directDist,0.01,0.015,4.4,0.1735,0.68536
directDist,0.01,0.015,4.6,0.1735,0.68536
directDist,0.01,0.015,4.8,0.1735,0.68536
directDist,0.01,0.015,5,0.17802,0.67683
directDist,0.01,0.02,1,5.80E-05,0.57465
directDist,0.01,0.02,1.2,0.0076365,0.97412
directDist,0.01,0.02,1.4,0.077961,0.82381
directDist,0.01,0.02,1.6,0.093049,0.81352
directDist,0.01,0.02,1.8,0.1099,0.79624
directDist,0.01,0.02,2,0.12093,0.77823
directDist,0.01,0.02,2.2,0.1412,0.73845
directDist,0.01,0.02,2.4,0.14192,0.73825
directDist,0.01,0.02,2.6,0.14234,0.73812
directDist,0.01,0.02,2.8,0.14872,0.72019
directDist,0.01,0.02,3,0.14887,0.72015
directDist,0.01,0.02,3.2,0.14896,0.72013
directDist,0.01,0.02,3.4,0.14902,0.72011
directDist,0.01,0.02,3.6,0.15492,0.70619
directDist,0.01,0.02,3.8,0.15494,0.70619
directDist,0.01,0.02,4,0.15496,0.70619
directDist,0.01,0.02,4.2,0.15496,0.70619
directDist,0.01,0.02,4.4,0.15497,0.70619
directDist,0.01,0.02,4.6,0.15975,0.69402
directDist,0.01,0.02,4.8,0.16407,0.68511
directDist,0.01,0.02,5,0.16407,0.68511
directDist,0.01,0.025,1,1.55E-05,0.57649
directDist,0.01,0.025,1.2,7.84E-09,0.99999
directDist,0.01,0.025,1.4,0.049473,0.88062
directDist,0.01,0.025,1.6,0.085395,0.81492
directDist,0.01,0.025,1.8,0.090373,0.81254
directDist,0.01,0.025,2,0.11403,0.77831
directDist,0.01,0.025,2.2,0.11556,0.77774
directDist,0.01,0.025,2.4,0.13431,0.73815
directDist,0.01,0.025,2.6,0.13493,0.73793
directDist,0.01,0.025,2.8,0.14109,0.71987
directDist,0.01,0.025,3,0.14132,0.7198
directDist,0.01,0.025,3.2,0.14147,0.71975
directDist,0.01,0.025,3.4,0.14156,0.71972
directDist,0.01,0.025,3.6,0.14719,0.70583
directDist,0.01,0.025,3.8,0.14722,0.70582
directDist,0.01,0.025,4,0.14725,0.70582
directDist,0.01,0.025,4.2,0.14727,0.70581
directDist,0.01,0.025,4.4,0.14728,0.70581
directDist,0.01,0.025,4.6,0.14728,0.70581
directDist,0.01,0.025,4.8,0.14729,0.70581
directDist,0.01,0.025,5,0.15167,0.69373
directDist,0.01,0.03,1,4.21E-06,0.57826
directDist,0.01,0.03,1.2,2.96E-10,1
directDist,0.01,0.03,1.4,0.026512,0.92933
directDist,0.01,0.03,1.6,0.067069,0.83719
directDist,0.01,0.03,1.8,0.084415,0.81324
directDist,0.01,0.03,2,0.087416,0.81167
directDist,0.01,0.03,2.2,0.10944,0.77782
directDist,0.01,0.03,2.4,0.11631,0.76175
directDist,0.01,0.03,2.6,0.12807,0.7379
directDist,0.01,0.03,2.8,0.1286,0.73767
directDist,0.01,0.03,3,0.13441,0.71956
directDist,0.01,0.03,3.2,0.13462,0.71948
directDist,0.01,0.03,3.4,0.13476,0.71943
directDist,0.01,0.03,3.6,0.13485,0.71939
directDist,0.01,0.03,3.8,0.1402,0.70554
directDist,0.01,0.03,4,0.14024,0.70553
directDist,0.01,0.03,4.2,0.14027,0.70552
directDist,0.01,0.03,4.4,0.14029,0.70552
directDist,0.01,0.03,4.6,0.1403,0.70551
directDist,0.01,0.03,4.8,0.14031,0.70551
directDist,0.01,0.03,5,0.14031,0.70551
directDist,0.01,0.035,1,1.15E-06,0.58
directDist,0.01,0.035,1.2,2.69E-11,1
directDist,0.01,0.035,1.4,3.23E-07,0.99974
directDist,0.01,0.035,1.6,0.047652,0.87907
directDist,0.01,0.035,1.8,0.072179,0.82507
directDist,0.01,0.035,2,0.082382,0.81209
directDist,0.01,0.035,2.2,0.10351,0.7782
directDist,0.01,0.035,2.4,0.10513,0.77736
directDist,0.01,0.035,2.6,0.11138,0.76136
directDist,0.01,0.035,2.8,0.12236,0.73769
directDist,0.01,0.035,3,0.12282,0.73746
directDist,0.01,0.035,3.2,0.12831,0.71931
directDist,0.01,0.035,3.4,0.1285,0.71922
directDist,0.01,0.035,3.6,0.12863,0.71916
directDist,0.01,0.035,3.8,0.12872,0.71912
directDist,0.01,0.035,4,0.13382,0.70532
directDist,0.01,0.035,4.2,0.13386,0.70531
directDist,0.01,0.035,4.4,0.13389,0.7053
directDist,0.01,0.035,4.6,0.13391,0.70529
directDist,0.01,0.035,4.8,0.13392,0.70529
directDist,0.01,0.035,5,0.13393,0.70528
directDist,0.01,0.04,1,3.16E-07,0.58171
directDist,0.01,0.04,1.2,3.26E-12,1
directDist,0.01,0.04,1.4,2.98E-13,1
directDist,0.01,0.04,1.6,0.027783,0.92531
directDist,0.01,0.04,1.8,0.062515,0.83653
directDist,0.01,0.04,2,0.076879,0.81345
directDist,0.01,0.04,2.2,0.080003,0.81117
directDist,0.01,0.04,2.4,0.099798,0.77769
directDist,0.01,0.04,2.6,0.10107,0.77695
directDist,0.01,0.04,2.8,0.10682,0.76101
directDist,0.01,0.04,3,0.11711,0.73752
directDist,0.01,0.04,3.2,0.1175,0.73729
directDist,0.01,0.04,3.4,0.12271,0.71911
directDist,0.01,0.04,3.6,0.12289,0.71902
directDist,0.01,0.04,3.8,0.12301,0.71896
directDist,0.01,0.04,4,0.12309,0.71891
directDist,0.01,0.04,4.2,0.12797,0.70516
directDist,0.01,0.04,4.4,0.12801,0.70514
directDist,0.01,0.04,4.6,0.12804,0.70513
directDist,0.01,0.04,4.8,0.12806,0.70512
directDist,0.01,0.04,5,0.12808,0.70511
directDist,0.01,0.045,1,8.62E-08,0.58342
directDist,0.01,0.045,1.2,4.56E-13,1
